X;dN
4577.31;0
4579.94;0
4582.56;0
4585.19;0
4587.81;0
4590.44;0
4593.06;0
4595.69;0
4598.31;0
4600.94;1
4603.56;7
4606.19;3
4608.81;19
4611.44;14
4614.06;3
4616.69;1
