Number;Data
1;4.616
2;4.616
3;4.614
4;4.610
5;4.612
6;4.612
7;4.612
8;4.610
9;4.608
10;4.610
11;4.610
12;4.612
13;4.610
14;4.610
15;4.610
16;4.612
17;4.614
18;4.612
19;4.614
20;4.612
21;4.608
22;4.606
23;4.606
24;4.606
25;4.606
26;4.604
27;4.606
28;4.608
29;4.606
30;4.576
31;4.578
32;4.602
33;4.610
34;4.610
35;4.612
36;4.612
37;4.614
38;4.614
39;4.614
40;4.612
41;4.614
42;4.614
43;4.614
44;4.614
45;4.614
46;4.614
47;4.614
48;4.614
49;4.618
50;4.616

